sparsity,1000,10000,100000,1000000
0.01,0.0024,0.003,0.0043,0.015
,0.0018,0.0026,0.0049,0.0106
,0.0016,0.0022,0.0036,0.0075
,0.0018,0.0286,0.0099,0.0256
,0.0022,0.0051,0.0061,0.0065
,0.0027,0.0028,0.0094,0.0086
,0.0018,0.0026,0.0066,0.0103
,0.0016,0.0021,0.0024,0.009
,0.0018,0.0023,0.003,0.015
,0.0021,0.0062,0.0115,0.0104
0.05,0.0029,0.0028,0.0554,0.0396
,0.0024,0.0024,0.0044,0.0153
,0.0023,0.0019,0.0278,0.0122
,0.0246,0.0081,0.0135,0.0934
,0.0028,0.0055,0.0205,0.0078
,0.0027,0.0027,0.0357,0.0119
,0.0035,0.0044,0.0053,0.02
,0.0026,0.0022,0.0058,0.0106
,0.0035,0.0029,0.0058,0.0097
,0.003,0.0037,0.0505,0.0125
0.1,0.0045,0.0144,0.0112,0.014
,0.0028,0.0033,0.0064,0.0129
,0.0024,0.0026,0.0059,0.0129
,0.003,0.0052,0.0397,0.0136
,0.0022,0.0029,0.0313,0.061
,0.0027,0.0027,0.007,0.0134
,0.0026,0.0034,0.0318,0.0122
,0.0023,0.0021,0.0299,0.0263
,0.0021,0.0022,0.0188,0.0131
,0.0021,0.0021,0.0082,0.0154
