sparsity,1000,10000,100000,1000000
0.01,0.0297,0.1489,1.4366,16.5749
,0.0176,0.2503,1.6496,16.4884
,0.0171,0.1504,1.446,15.157
,0.0181,0.2319,2.0175,14.9043
,0.0236,0.2665,1.6215,15.8613
,0.0722,0.1851,1.5515,16.1476
,0.0187,0.2141,1.5705,19.9817
,0.0164,0.1526,1.3098,16.1883
,0.0185,0.1296,1.3486,15.7467
,0.0526,0.241,2.1549,14.8017
0.05,0.0277,0.2202,2.9893,26.237
,0.0252,0.1792,1.8019,29.0839
,0.0225,0.2004,2.0132,28.1588
,0.0498,0.297,3.0813,30.5147
,0.0255,0.3142,3.6488,23.3124
,0.0256,0.2076,3.0285,24.5168
,0.034,1.3169,2.2981,23.9588
,0.026,0.1872,1.9666,21.3915
,0.0323,0.3414,2.0075,21.2617
,0.0288,0.2982,3.764,22.0388
0.1,0.0955,0.4446,3.9744,37.8897
,0.0337,0.3452,2.8531,34.1059
,0.0351,0.263,2.7902,34.8636
,0.055,0.4661,5.0556,43.9294
,0.0313,0.2959,3.2233,33.068
,0.0378,0.2957,4.0262,32.1923
,0.0558,0.2996,4.0177,33.9838
,0.0301,0.2619,4.1314,37.2067
,0.0285,0.2634,4.4261,32.9378
,0.0299,0.3119,3.3957,33.5431
